regression_function,network,units,mse,iqr
m1,create_network_1,9,0.5204104483127594,0.5237486958503723
m1,create_network_2,9,0.17045632004737854,0.015332534909248352
m1,create_network_3,15,0.1253003478050232,0.088777681812644
m2,create_network_1,15,0.24923208355903625,0.055931456387043
m2,create_network_2,15,0.13740255683660507,0.025860711932182312
m2,create_network_3,15,0.051534220576286316,0.05071060126647353
m3,create_network_1,12,8.573623180389404,1.8452668190002441
m3,create_network_2,15,3.09964656829834,1.1861319541931152
m3,create_network_3,9,1.7887941002845764,0.8319994211196899
m4,create_network_1,3,0.0904458723962307,0.08216222282499075
m4,create_network_2,12,0.007647985825315118,0.0036215363070368767
m4,create_network_3,12,0.0021233223378658295,0.0023828810080885887
m5,create_network_1,12,0.43118903040885925,0.24108389765024185
m5,create_network_2,12,0.07020227983593941,0.027280092239379883
m5,create_network_3,15,0.0330471508204937,0.008054822217673063
m6,create_network_1,15,424.39801025390625,14.467071533203125
m6,create_network_2,15,336.56849670410156,25.45519256591797
m6,create_network_3,12,256.88258361816406,55.638221740722656
m7,create_network_1,15,639.1758117675781,26.178955078125
m7,create_network_2,15,507.5788879394531,58.90165710449219
m7,create_network_3,15,256.5869445800781,129.5253143310547
m8,create_network_1,15,0.5097314119338989,0.44906943291425705
m8,create_network_2,12,0.4542040377855301,0.21218769252300262
m8,create_network_3,15,0.3160905987024307,0.07444151490926743
