regression_function,network,mse,iqr
m1,create_network_1,0.65411776304245,0.5725772380828857
m1,create_network_2,0.7396324276924133,0.7535055950284004
m1,create_network_3,0.6170485019683838,0.6138106659054756
m2,create_network_1,0.28195756673812866,0.042698025703430176
m2,create_network_2,0.2918259799480438,0.04618331044912338
m2,create_network_3,0.25498464703559875,0.03593236207962036
m3,create_network_1,8.483341217041016,1.5410547256469727
m3,create_network_2,8.3643798828125,1.171711802482605
m3,create_network_3,7.9984705448150635,1.7081031799316406
m4,create_network_1,0.02163834683597088,0.015527418814599514
m4,create_network_2,0.022183229215443134,0.017494688741862774
m4,create_network_3,0.03675989806652069,0.041299931704998016
m5,create_network_1,0.5393398106098175,0.23754415661096573
m5,create_network_2,0.5029423981904984,0.24505522847175598
m5,create_network_3,0.4567164182662964,0.1823309138417244
m6,create_network_1,281.7470703125,8.212486267089844
m6,create_network_2,283.19252014160156,8.489501953125
m6,create_network_3,278.9339599609375,6.268218994140625
m7,create_network_1,1512.8335571289062,32.808929443359375
m7,create_network_2,1496.1951904296875,35.0877685546875
m7,create_network_3,1501.1358032226562,32.082122802734375
m8,create_network_1,1.0585741996765137,1.664923146367073
m8,create_network_2,3.895242214202881,4.976747989654541
m8,create_network_3,1.4660676717758179,1.3644776046276093
